,model,MRR_mean,MRR_std,H1_mean,H1_std,H3_mean,H3_std,H10_mean,H10_std
0,Original,0.28540000000000004,0.002475210428764919,0.2000333333333333,0.0010402991022884925,0.3148666666666667,0.003793268892247018,0.45116666666666666,0.005327496806401881
1,Variational,0.0005170333333333333,1.9749486631865213e-05,2.4429999999999998e-05,1.994701147206435e-05,8.145e-05,3.0491836065849927e-05,0.0003990666666666667,5.760563244066406e-05
2,Var.wELBO,0.0006397999999999999,3.57114360767901e-05,5.700333333333334e-05,3.0469563319629132e-05,0.00015475333333333333,0.00010237284318715694,0.0006351999999999999,1.9922516574636514e-05

